ID_категории,Название_категории,Описание,Количество_сценариев,Количество_критериев
1,Карьера и образование,Решения связанные с профессиональным развитием и образованием,8,8
2,Финансы и инвестиции,Финансовое планирование и инвестиционные решения,8,8
3,Отношения и семья,"Личные отношения, семейные вопросы и социальные связи",8,8
4,Здоровье и фитнес,"Физическое и психическое здоровье, медицинские решения",8,8
5,Жильё и недвижимость,Выбор места жительства и решения по недвижимости,8,8
6,Путешествия и отдых,"Планирование отдыха, путешествий и досуга",8,8
7,Покупки и потребление,Потребительские решения и выбор товаров/услуг,8,8
8,Социальная жизнь,Социальные взаимодействия и общественная деятельность,8,8
9,Хобби и развлечения,"Личные интересы, хобби и творческое развитие",8,8
10,Духовность и самопознание,"Духовный рост, самопознание и философские вопросы",8,8
11,Технологии и цифровая жизнь,"Цифровые технологии, онлайн-сервисы и IT-решения",8,8
12,Безопасность и защита,"Вопросы личной и финансовой безопасности, защиты",8,8
